头实体,尾实体,Probability
广州庚威润滑科技有限公司,地块是否存在特征污染物 | 是,78.5899425
广州斯之创建筑材料有限公司,地块是否存在特征污染物 | 是,78.5899425
广州纳士得润滑科技有限公司,地块是否存在特征污染物 | 是,78.5899425
广州米奇化工有限公司,地块是否存在特征污染物 | 是,78.5899425
广州炬联胶粘剂有限公司,地块是否存在特征污染物 | 是,78.5899425
广州赛铭机电设备有限公司,地块是否存在特征污染物 | 是,78.5899425
广州市斯洛柯高分子聚合物有限公司,地块是否存在特征污染物 | 是,78.5899425
广州凯帆道路交通设施有限公司,地块是否存在特征污染物 | 是,78.5899425
广州市番禺大兴热熔胶有限公司,地块是否存在特征污染物 | 是,78.5899425
广州日宝机电设备有限公司,地块是否存在特征污染物 | 是,78.5899425
广州市千代电源有限公司,地块是否存在特征污染物 | 是,78.5899425
普莱克斯(广州)工业气体有限公司,地块是否存在特征污染物 | 是,78.5899425
广州科德化工有限公司,地块是否存在特征污染物 | 是,78.5899425
广州农丰动物药业有限公司（广东农丰动物保健品有限公司兽药厂）,地块是否存在特征污染物 | 是,78.5899425
广州市浩之博化工有限公司（广州雅运纺织印染助剂有限公司）,地块是否存在特征污染物 | 是,78.5899425
广州三骏佳纺织合成材料厂有限公司,是否产生危险废物 * | 是,59.358
广州庚威润滑科技有限公司,是否产生危险废物 * | 是,59.358
百草堂医药股份有限公司（广州百草堂药业有限公司）,是否产生危险废物 * | 是,59.358
广东省中科宏微半导体设备有限公司,是否产生危险废物 * | 是,59.358
广州市白云区林源印花厂（曾用名:广州市白云区新秀印花工艺厂））,是否产生危险废物 * | 是,59.358
广州市白云区良田锐达丝印器材厂（广州市白云区多华涂料厂）,是否产生危险废物 * | 是,59.358
广州斯之创建筑材料有限公司,是否产生危险废物 * | 是,59.358
广州特鲁勃润滑技术有限公司,是否产生危险废物 * | 是,59.358
广州岚密封材料有限公司,是否产生危险废物 * | 是,59.358
广州市嘉曜华洗涤用品有限公司,是否产生危险废物 * | 是,59.358
广州市迅宏粘合剂有限公司,是否产生危险废物 * | 是,59.358
广州纳士得润滑科技有限公司,是否产生危险废物 * | 是,59.358
广州市兴利泰电源材料有限公司,是否产生危险废物 * | 是,59.358
广东农密生物科技有限公司,是否产生危险废物 * | 是,59.358
广州给力源电子有限公司,是否产生危险废物 * | 是,59.358
广州金发碳纤维新材料发展有限公司,是否产生危险废物 * | 是,59.358
广州米奇化工有限公司,是否产生危险废物 * | 是,59.358
广州鸿森材料有限公司（广州锂新电池材料有限公司、广州锂新材料有限公司）,是否产生危险废物 * | 是,59.358
广州力智农业有限公司（广州力智畜牧有限公司、广州广南畜牧有限公司）,是否产生危险废物 * | 是,59.358
广州市白云粤新印花厂,是否产生危险废物 * | 是,59.358
广州盛峰压力克洁具制品有限公司（广州市白云盛峰压力克洁具制品厂）,是否产生危险废物 * | 是,59.358
广州市黄埔区兴发水洗厂,是否产生危险废物 * | 是,59.358
广东环凯微生物科技有限公司,是否产生危险废物 * | 是,59.358
广州炬联胶粘剂有限公司,是否产生危险废物 * | 是,59.358
阿克苏诺贝尔高效化学品（广州）有限公司（依卡化学品（广州）有限公司,是否产生危险废物 * | 是,59.358
广州宇圣电子材料有限公司,是否产生危险废物 * | 是,59.358
广州虹迪化工有限公司,是否产生危险废物 * | 是,59.358
广州番禺厚纪电子有限公司,是否产生危险废物 * | 是,59.358
广州人和鹤亭粘胶厂,是否产生危险废物 * | 是,59.358
广州赛铭机电设备有限公司,是否产生危险废物 * | 是,59.358
广州美威涂料有限公司,是否产生危险废物 * | 是,59.358
广州市白云区万利喷塑厂,是否产生危险废物 * | 是,59.358
广州市白云区科林涂料厂,是否产生危险废物 * | 是,59.358
广州市志森实业有限公司,是否产生危险废物 * | 是,59.358
广州市白云区楚风布艺厂,是否产生危险废物 * | 是,59.358
广州金兰生化制品有限公司,是否产生危险废物 * | 是,59.358
广州市赛门经济发展有限公司,是否产生危险废物 * | 是,59.358
广州三和纺织制品有限公司,是否产生危险废物 * | 是,59.358
广州市白云区焊接材料厂,是否产生危险废物 * | 是,59.358
广州市冶金工业研究所有限公司,是否产生危险废物 * | 是,59.358
广州市广良畜牧有限公司,是否产生危险废物 * | 是,59.358
广州市弘隆新材料有限公司,是否产生危险废物 * | 是,59.358
广州亚茂塑胶制品有限公司,是否产生危险废物 * | 是,59.358
广州市俊辉合成材料有限公司,是否产生危险废物 * | 是,59.358
广州市白云区亚博塑胶颜料厂,是否产生危险废物 * | 是,59.358
广州同欣康体设备有限公司,是否产生危险废物 * | 是,59.358
广州市诺宝涂料有限公司,是否产生危险废物 * | 是,59.358
广州乾丰印花有限公司,是否产生危险废物 * | 是,59.358
广州市斯洛柯高分子聚合物有限公司,是否产生危险废物 * | 是,59.358
广州凯帆道路交通设施有限公司,是否产生危险废物 * | 是,59.358
广州市甘谷油墨厂(广州市甘谷油墨联合厂),是否产生危险废物 * | 是,59.358
广州市萝岗区苏氏油料加工厂（广州市增城苏氏油料饲料加工厂）,是否产生危险废物 * | 是,59.358
广州市沥峰染织有限公司,是否产生危险废物 * | 是,59.358
广州市芳村神彩印花厂,是否产生危险废物 * | 是,59.358
广州市南先化工有限公司,是否产生危险废物 * | 是,59.358
广州源泰合成材料有限公司,是否产生危险废物 * | 是,59.358
海诺化工（广东）有限公司,是否产生危险废物 * | 是,59.358
广州洋源化工有限公司,是否产生危险废物 * | 是,59.358
广州市番禺大兴热熔胶有限公司,是否产生危险废物 * | 是,59.358
广州钛雅新材料有限公司,是否产生危险废物 * | 是,59.358
广州新天地化学实业有限公司,是否产生危险废物 * | 是,59.358
广州日宝机电设备有限公司,是否产生危险废物 * | 是,59.358
广州市千代电源有限公司,是否产生危险废物 * | 是,59.358
广州康乔汉普药业有限公司,是否产生危险废物 * | 是,59.358
广州市汇彩涂料有限公司,是否产生危险废物 * | 是,59.358
广州市白云汇丰皮革塑料有限公司,是否产生危险废物 * | 是,59.358
广州天赐有机硅科技有限公司,是否产生危险废物 * | 是,59.358
广州市嘉澳涂料有限公司,是否产生危险废物 * | 是,59.358
广州汤谱建筑装饰材料有限公司,是否产生危险废物 * | 是,59.358
广州白云东方热镀锌钢管有限公司,是否产生危险废物 * | 是,59.358
广州市智立化工有限公司,是否产生危险废物 * | 是,59.358
广州市万佳成塑料有限公司,是否产生危险废物 * | 是,59.358
广州市千邦化妆品有限公司,是否产生危险废物 * | 是,59.358
广州道顿粉末涂料有限公司,是否产生危险废物 * | 是,59.358
广州市欧彩涂料化工有限公司,是否产生危险废物 * | 是,59.358
广州人和汉塘电化着色厂,是否产生危险废物 * | 是,59.358
广州市邦达森化工有限公司,是否产生危险废物 * | 是,59.358
广州超美力特种润滑油有限公司,是否产生危险废物 * | 是,59.358
广州市博辰石油制品有限责任公司,是否产生危险废物 * | 是,59.358
广州市白云区江高南岗喷漆加工厂,是否产生危险废物 * | 是,59.358
广州市凯峰金属涂装有限公司,是否产生危险废物 * | 是,59.358
广州高得针织染整制衣有限公司,是否产生危险废物 * | 是,59.358
广州市中达生物工程有限公司,是否产生危险废物 * | 是,59.358
广州三合装饰材料有限公司,是否产生危险废物 * | 是,59.358
广州白云恒和精细化工厂,是否产生危险废物 * | 是,59.358
广州呈和塑料新材料有限公司,是否产生危险废物 * | 是,59.358
广州科德化工有限公司,是否产生危险废物 * | 是,59.358
广东车德宝润滑科技有限公司,是否产生危险废物 * | 是,59.358
广州白云顺成制衣实业公司,是否产生危险废物 * | 是,59.358
广州市坏禄工有限公司,是否产生危险废物 * | 是,59.358
广州农丰动物药业有限公司（广东农丰动物保健品有限公司兽药厂）,是否产生危险废物 * | 是,59.358
广州红窗喜粘胶有限公司,是否产生危险废物 * | 是,59.358
广州道诚环保科技有限公司,是否产生危险废物 * | 是,59.358
广州市萝岗区锦燕装饰材料厂（广州市白云区锦燕装饰材料厂）,是否产生危险废物 * | 是,59.358
广州开发区水质净化管理中心,是否产生危险废物 * | 是,59.358
广州雅耀电器有限公司(广州市金江化工电子仪表厂）,是否产生危险废物 * | 是,59.358
广州市白云区新生实业有限公司,是否产生危险废物 * | 是,59.358
广东坤豪日华有限公司（原企业名称：广州市乐丞朗化工有限公司）,是否产生危险废物 * | 是,59.358
广州市聚科聚氨酯有限公司,是否产生危险废物 * | 是,59.358
广州市浩之博化工有限公司（广州雅运纺织印染助剂有限公司）,是否产生危险废物 * | 是,59.358
广州市富盛达染整有限公司,地块是否存在特征污染物 | 否,3.619884843
提珂隆(广州)表面技术有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市友创五金制品有限公司（曾用名：广州市友创喷涂电化有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市三国水性油墨有限公司（广州市荣天豪油墨涂料有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州保莱工艺品有限公司（曾用名：广州市番禺润轩饰物制品有限公司、番禺润轩饰物制品有限公司 ）,地块是否存在特征污染物 | 否,3.619884843
广州白云山医药集团股份有限公司白云山化学制药厂,地块是否存在特征污染物 | 否,3.619884843
广东达志环保科技股份有限公司（历史用名为：广州市达志化工科技有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州三骏佳纺织合成材料厂有限公司,地块是否存在特征污染物 | 否,3.619884843
空气化工产品(广州)有限公司（南方气体产品（广州）有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州二天堂制药有限公司,地块是否存在特征污染物 | 否,3.619884843
广州庄杰化工有限公司（广州市赛璐化工有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州超邦化工有限公司,地块是否存在特征污染物 | 否,3.619884843
百草堂医药股份有限公司（广州百草堂药业有限公司）,地块是否存在特征污染物 | 否,3.619884843
明珠电气股份有限公司（曾用名：广州市番禺明珠电器有限责任公司）,地块是否存在特征污染物 | 否,3.619884843
广东省中科宏微半导体设备有限公司,地块是否存在特征污染物 | 否,3.619884843
东华隆(广州)表面改质技术有限公司,地块是否存在特征污染物 | 否,3.619884843
广州协鑫蓝天燃气热电有限公司,地块是否存在特征污染物 | 否,3.619884843
广州斯坦雷电气有限公司永和工厂,地块是否存在特征污染物 | 否,3.619884843
富乐（广州）粘合剂有限公司（福尔波粘合剂（广州）有限公司、慧达（广州）化学有限公司）,地块是否存在特征污染物 | 否,3.619884843
加特可（广州）自动变速箱有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区林源印花厂（曾用名:广州市白云区新秀印花工艺厂））,地块是否存在特征污染物 | 否,3.619884843
广州市南风化工有限公司（贵州水晶化工股份有限公司广州分公司）,地块是否存在特征污染物 | 否,3.619884843
广州贝客音涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州国源塑料五金工艺制品有限公司,地块是否存在特征污染物 | 否,3.619884843
鞍钢联众（广州）不锈钢有限公司（联众（广州）不锈钢有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州番禺美特包装有限公司,地块是否存在特征污染物 | 否,3.619884843
广州德顿润滑油技术有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区良田锐达丝印器材厂（广州市白云区多华涂料厂）,地块是否存在特征污染物 | 否,3.619884843
广州柏盛包装有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市斯洛柯高分子聚合物有限公司玉树分公司,地块是否存在特征污染物 | 否,3.619884843
广州中冠安泰石油化工有限公司（广州技术开发区中穗安泰工贸有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市药材公司中药饮片厂,地块是否存在特征污染物 | 否,3.619884843
广州宇雷钟表有限公司,地块是否存在特征污染物 | 否,3.619884843
广州百特侨光医疗用品有限公司荔湾分公司（广州侨光制药有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市铠特电子材料有限公司萝岗分公司,地块是否存在特征污染物 | 否,3.619884843
广州花语精细化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区新龙实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州大港石油科技有限公司,地块是否存在特征污染物 | 否,3.619884843
迪爱生（广州）油墨有限公司（高氏（广州）油墨有限公司、高氏（广州）涂料有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州特鲁勃润滑技术有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市兴盛喷涂有限公司,地块是否存在特征污染物 | 否,3.619884843
广州岚密封材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州迪斯环保设备工程有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市嘉曜华洗涤用品有限公司,地块是否存在特征污染物 | 否,3.619884843
广州机械科学研究院有限公司（广州机床研究所、广州机械科学研究院、机械工业部广州机床研究所）,地块是否存在特征污染物 | 否,3.619884843
广州市黄埔华天润滑油有限公司（广州市黄埔区华天润滑油有限公司、广州市天河区华天润滑油有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州人和伟昌电路板厂,地块是否存在特征污染物 | 否,3.619884843
广州市兴森电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州本立电子有限公司（广州致达电子厂有限公司）,地块是否存在特征污染物 | 否,3.619884843
华尔（广州）机械装备有限公司,地块是否存在特征污染物 | 否,3.619884843
广州白云山医药集团股份有限公司白云山何济公制药厂（广州白云山何济公制药有限公司 ）,地块是否存在特征污染物 | 否,3.619884843
广州埃尔夫润滑油有限公司（埃尔夫润滑油（广州）有限公司）,地块是否存在特征污染物 | 否,3.619884843
广东港航环保科技有限公司（广州港珠江防污有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州安迪化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州厚弘五金制品有限公司（广州丰宁电镀制品公司）,地块是否存在特征污染物 | 否,3.619884843
广州兴森快捷电路科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市雅迪装饰包装有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市黄埔区绘园皮革压花厂,地块是否存在特征污染物 | 否,3.619884843
广州威华自行车有限公司,地块是否存在特征污染物 | 否,3.619884843
广州科城环保科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市迅宏粘合剂有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市科灵精细化工有限公司（广东科灵化学清洗技术有限公司）,地块是否存在特征污染物 | 否,3.619884843
礼恩派（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州华微电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州双科新材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州迈特兴华制药厂有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市兴利泰电源材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州松下空调器有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市再腾皮革有限公司 （曾用名：广州市天龙人造革厂、广州市白云区天龙实业有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州天祥皮革制品有限公司（曾用名：广州天祥皮革厂、河南鞋城皮革集团广州天祥皮革厂）,地块是否存在特征污染物 | 否,3.619884843
安美特（中国）化学有限公司（安美特（广州）化学有限公司）,地块是否存在特征污染物 | 否,3.619884843
广东农密生物科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州给力源电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州金发碳纤维新材料发展有限公司,地块是否存在特征污染物 | 否,3.619884843
东海橡塑（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州鸿森材料有限公司（广州锂新电池材料有限公司、广州锂新材料有限公司）,地块是否存在特征污染物 | 否,3.619884843
广东风华芯电科技股份有限公司（历史名称：广东省粤晶高科股份有限公司）,地块是否存在特征污染物 | 否,3.619884843
亚萨合莱（广州）智能科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州力智农业有限公司（广州力智畜牧有限公司、广州广南畜牧有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市白云粤新印花厂,地块是否存在特征污染物 | 否,3.619884843
广州盛峰压力克洁具制品有限公司（广州市白云盛峰压力克洁具制品厂）,地块是否存在特征污染物 | 否,3.619884843
广州忠辉制衣有限公司,地块是否存在特征污染物 | 否,3.619884843
广东岭南制药有限公司（广东省医药学校附属岭南制药厂、广东省岭南制药厂）,地块是否存在特征污染物 | 否,3.619884843
广州市千里达实业有限公司（广州市宇泰自行车有限公司，广州市千里达车业有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州珠江气体工业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市多维工程机械有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市泽丰化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市华达石化有限公司,地块是否存在特征污染物 | 否,3.619884843
广州赫尔普化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市黄埔区兴发水洗厂,地块是否存在特征污染物 | 否,3.619884843
广州广日电气设备有限公司,地块是否存在特征污染物 | 否,3.619884843
广州创越化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市永硕制衣洗水有限公司,地块是否存在特征污染物 | 否,3.619884843
广东环凯微生物科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广东省华物汽车拆解有限公司,地块是否存在特征污染物 | 否,3.619884843
阿克苏诺贝尔高效化学品（广州）有限公司（依卡化学品（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广东波斯科技股份有限公司（广州市波斯塑料颜料有限公司）,地块是否存在特征污染物 | 否,3.619884843
阿克苏诺贝尔太古漆油（广州）有限公司（卜内门太古漆油（中国）有限公司）,地块是否存在特征污染物 | 否,3.619884843
建峰索具有限公司（广州建峰特纺五金制造有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州宇圣电子材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州虹迪化工有限公司,地块是否存在特征污染物 | 否,3.619884843
富兰科林(广州)胶粘剂有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市太和电路板有限公司（曾用名：广州市太和电路板厂）,地块是否存在特征污染物 | 否,3.619884843
广州番禺厚纪电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州人和鹤亭粘胶厂,地块是否存在特征污染物 | 否,3.619884843
中国石化销售股份有限公司广东石油分公司（中国石油化工股份有限公司广东广州石油分公司）,地块是否存在特征污染物 | 否,3.619884843
广州腾达五金制品有限公司,地块是否存在特征污染物 | 否,3.619884843
广州阿雷斯提汽车配件有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区侨航塑胶颜料厂,地块是否存在特征污染物 | 否,3.619884843
广州美威涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市海珠区科艺化工厂,地块是否存在特征污染物 | 否,3.619884843
广州市白云区万利喷塑厂,地块是否存在特征污染物 | 否,3.619884843
广州市超彩油墨实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州帕卡濑精有限公司,地块是否存在特征污染物 | 否,3.619884843
广州南星精细化工有限公司（广州市天河区南星精细化工厂、广州市天河区石牌南星精细化工厂）,地块是否存在特征污染物 | 否,3.619884843
广州市白云区科林涂料厂,地块是否存在特征污染物 | 否,3.619884843
广州鹏辉能源科技股份有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区肇雄皮革厂,地块是否存在特征污染物 | 否,3.619884843
广州精至百特利化工科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广东南方碱业股份有限公司（广东南方制碱有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州金鹏源康精密电路股份有限公司（金鹏源康(广州)精密电路有限公司、金鹏源康（广州）精密电路有限公司）,地块是否存在特征污染物 | 否,3.619884843
广东生活环境无害化处理中心（广州医疗废物处理站）,地块是否存在特征污染物 | 否,3.619884843
乐金显示（广州）有限公司（乐金飞利浦液晶显示（广州）有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州东成吉昌新材料有限公司（广州市东成化学有限公司）,地块是否存在特征污染物 | 否,3.619884843
长兴(广州)电子材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州琪原新材料股份有限公司（广州琪原新材料有限公司、广州琪原化工有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市志森实业有限公司,地块是否存在特征污染物 | 否,3.619884843
广州添利电子科技有限公司,地块是否存在特征污染物 | 否,3.619884843
广州曙光制动器有限公司,地块是否存在特征污染物 | 否,3.619884843
广州神崎压铸有限公司（大龙街）,地块是否存在特征污染物 | 否,3.619884843
广州中粮制罐有限公司,地块是否存在特征污染物 | 否,3.619884843
飞登(广州)电子有限公司,地块是否存在特征污染物 | 否,3.619884843
四维尔丸井（广州）汽车零部件有限公司（四维尔邦盛（广州）汽车零部件有限公司）,地块是否存在特征污染物 | 否,3.619884843
高勋绿色智能装备（广州)有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市宏昌服装印花有限公司,地块是否存在特征污染物 | 否,3.619884843
广州立邦涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市白云区楚风布艺厂,地块是否存在特征污染物 | 否,3.619884843
广州金兰生化制品有限公司,地块是否存在特征污染物 | 否,3.619884843
广州汉高表面技术有限公司,地块是否存在特征污染物 | 否,3.619884843
中国石油化工股份有限公司广州分公司,地块是否存在特征污染物 | 否,3.619884843
广州市赛门经济发展有限公司,地块是否存在特征污染物 | 否,3.619884843
广州斗原钢铁有限公司,地块是否存在特征污染物 | 否,3.619884843
广州番禺俊柏电子有限公司,地块是否存在特征污染物 | 否,3.619884843
广州大岭电子五金制品有限公司,地块是否存在特征污染物 | 否,3.619884843
三菱电机（广州）压缩机有限公司（广州三菱电机华凌压缩机有限公司）,地块是否存在特征污染物 | 否,3.619884843
贝格工业涂料（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州三和纺织制品有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市净水有限公司大坦沙分公司（广州市大坦沙污水处理厂）,地块是否存在特征污染物 | 否,3.619884843
广州市白云区焊接材料厂,地块是否存在特征污染物 | 否,3.619884843
广州市冶金工业研究所有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市萝岗区朝龙种植养殖场,地块是否存在特征污染物 | 否,3.619884843
长兴（广州）精细涂料有限公司,地块是否存在特征污染物 | 否,3.619884843
海虹老人涂料（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州雄义精密五金有限公司,地块是否存在特征污染物 | 否,3.619884843
广州昭和汽车零部件有限公司（广州昭和减震器有限公司）,地块是否存在特征污染物 | 否,3.619884843
广州市荔盛化学品有限公司,地块是否存在特征污染物 | 否,3.619884843
广州珠江光电新材料有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市广良畜牧有限公司,地块是否存在特征污染物 | 否,3.619884843
广州西朗污水处理有限公司（广州莱姆纳西朗污水处理有限公司）,地块是否存在特征污染物 | 否,3.619884843
富林特(广州)油墨有限公司,地块是否存在特征污染物 | 否,3.619884843
广美精密钢管（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州楚航化工涂料有限公司（广州市增城楚航化工涂料厂）,地块是否存在特征污染物 | 否,3.619884843
广大科技（广州）有限公司,地块是否存在特征污染物 | 否,3.619884843
广州亚茂塑胶制品有限公司,地块是否存在特征污染物 | 否,3.619884843
广州德渊精细化工有限公司,地块是否存在特征污染物 | 否,3.619884843
广州柴油机厂股份有限公司（广州柴油机厂、协同和机器厂）,地块是否存在特征污染物 | 否,3.619884843
广州艾科新材料股份有限公司,地块是否存在特征污染物 | 否,3.619884843
广州市俊辉合成材料有限公司,地块是否存在特征污染物 | 否,3.619884843
